threshold,max_component_size,component_precision,component_recall,component_f1,false_merges,false_splits,bcubed_precision,bcubed_recall,bcubed_f1,weighted_error_cost,deferred_edges,meets_precision_floor,selected
0.83,5,0.975609756097561,0.7326007326007326,0.8368200836820083,5,73,0.9878472222222222,0.8836805555555556,0.9328650020614307,98.0,22,True,False
0.83,6,0.9780701754385965,0.8168498168498168,0.8902195608782435,5,50,0.9878472222222222,0.910300925925926,0.9474900491192412,75.0,0,True,False
0.83,8,0.9780701754385965,0.8168498168498168,0.8902195608782435,5,50,0.9878472222222222,0.910300925925926,0.9474900491192412,75.0,0,True,False
0.83,10,0.9780701754385965,0.8168498168498168,0.8902195608782435,5,50,0.9878472222222222,0.910300925925926,0.9474900491192412,75.0,0,True,False
0.84,4,0.9738219895287958,0.6813186813186813,0.8017241379310345,5,87,0.9878472222222222,0.8674768518518519,0.9237573213419285,112.0,32,True,False
0.84,5,0.975609756097561,0.7326007326007326,0.8368200836820083,5,73,0.9878472222222222,0.8836805555555556,0.9328650020614307,98.0,18,True,False
0.84,6,0.9775784753363229,0.7985347985347986,0.8790322580645162,5,55,0.9878472222222222,0.9045138888888888,0.9443456931702343,80.0,0,True,False
0.84,8,0.9775784753363229,0.7985347985347986,0.8790322580645162,5,55,0.9878472222222222,0.9045138888888888,0.9443456931702343,80.0,0,True,False
0.84,10,0.9775784753363229,0.7985347985347986,0.8790322580645162,5,55,0.9878472222222222,0.9045138888888888,0.9443456931702343,80.0,0,True,False
0.85,4,0.9738219895287958,0.6813186813186813,0.8017241379310345,5,87,0.9878472222222222,0.8674768518518519,0.9237573213419285,112.0,32,True,False
0.85,5,0.975609756097561,0.7326007326007326,0.8368200836820083,5,73,0.9878472222222222,0.8836805555555556,0.9328650020614307,98.0,18,True,False
0.85,6,0.9775784753363229,0.7985347985347986,0.8790322580645162,5,55,0.9878472222222222,0.9045138888888888,0.9443456931702343,80.0,0,True,False
0.85,8,0.9775784753363229,0.7985347985347986,0.8790322580645162,5,55,0.9878472222222222,0.9045138888888888,0.9443456931702343,80.0,0,True,False
0.85,10,0.9775784753363229,0.7985347985347986,0.8790322580645162,5,55,0.9878472222222222,0.9045138888888888,0.9443456931702343,80.0,0,True,False
0.86,4,0.9736842105263158,0.6776556776556777,0.799136069114471,5,88,0.9878472222222222,0.8640046296296297,0.9217849392361112,113.0,32,True,False
0.86,5,0.9754901960784313,0.7289377289377289,0.8343815513626833,5,74,0.9878472222222222,0.8802083333333334,0.9309266573729864,99.0,18,True,False
0.86,6,0.9774774774774775,0.7948717948717948,0.8767676767676769,5,56,0.9878472222222222,0.9010416666666666,0.9424498314950981,81.0,0,True,False
0.86,8,0.9774774774774775,0.7948717948717948,0.8767676767676769,5,56,0.9878472222222222,0.9010416666666666,0.9424498314950981,81.0,0,True,False
0.86,10,0.9774774774774775,0.7948717948717948,0.8767676767676769,5,56,0.9878472222222222,0.9010416666666666,0.9424498314950981,81.0,0,True,False
0.87,4,0.9735449735449735,0.673992673992674,0.7965367965367965,5,89,0.9878472222222222,0.8605324074074074,0.9198051468030334,114.0,32,True,False
0.87,5,0.9753694581280788,0.7252747252747253,0.8319327731092437,5,75,0.9878472222222222,0.8767361111111112,0.9289810935236913,100.0,18,True,False
0.87,6,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.87,8,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.87,10,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.88,4,0.9735449735449735,0.673992673992674,0.7965367965367965,5,89,0.9878472222222222,0.8605324074074074,0.9198051468030334,114.0,32,True,False
0.88,5,0.9753694581280788,0.7252747252747253,0.8319327731092437,5,75,0.9878472222222222,0.8767361111111112,0.9289810935236913,100.0,18,True,False
0.88,6,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
